"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2019","34,549","34,940","34,940","33,865","5.76M","-0.66%"
"07/26/2019","34,777","35,201","35,364","34,484","3.52M","-1.11%"
"07/25/2019","35,168","35,005","35,364","34,712","2.75M","0.47%"
"07/24/2019","35,005","35,527","35,755","35,005","2.33M","-1.38%"
"07/23/2019","35,494","34,712","35,494","34,647","2.69M","2.25%"
"07/22/2019","34,712","34,549","35,038","34,288","2.58M","0.57%"
"07/19/2019","34,516","34,060","34,549","33,897","3.29M","1.92%"
"07/18/2019","33,865","33,082","33,865","32,887","3.33M","2.26%"
"07/17/2019","33,115","33,310","33,441","33,082","1.80M","-0.59%"
"07/16/2019","33,310","32,985","33,473","32,919","2.15M","0.99%"
"07/15/2019","32,985","32,202","33,245","31,974","4.67M","3.16%"
"07/12/2019","31,974","31,942","32,333","31,648","2.12M","0.10%"
"07/11/2019","31,942","32,105","32,365","31,942","2.11M","-0.41%"
"07/10/2019","32,072","31,713","32,430","31,713","3.14M","1.44%"
"07/09/2019","31,616","30,833","31,616","30,605","2.89M","2.86%"
"07/08/2019","30,736","30,964","31,062","30,670","2.15M","-1.15%"
"07/05/2019","31,094","31,029","31,192","30,931","1.86M","-0.11%"
"07/04/2019","31,127","31,290","31,485","31,094","1.95M","-0.10%"
"07/03/2019","31,159","30,996","31,290","30,964","2.57M","0.10%"
"07/02/2019","31,127","30,931","31,225","30,768","3.39M","0.85%"
"07/01/2019","30,866","30,475","30,899","30,410","2.81M","2.05%"
"06/28/2019","30,247","29,725","30,247","29,595","2.14M","1.98%"
"06/27/2019","29,660","30,019","30,247","29,595","2.28M","-1.94%"
"06/26/2019","30,247","29,921","30,410","29,725","2.28M","1.09%"
"06/25/2019","29,921","29,790","29,921","29,530","1.47M","0.44%"
"06/24/2019","29,790","29,953","30,149","29,562","2.32M","0.44%"
"06/21/2019","29,660","29,595","29,953","29,595","1.55M","0.33%"
"06/20/2019","29,562","29,008","29,856","28,943","3.44M","2.37%"
"06/19/2019","28,878","29,008","29,171","28,813","1.14M","0.34%"
"06/18/2019","28,780","28,650","28,813","28,584","1.23M","0.57%"
"06/17/2019","28,617","29,008","29,073","28,519","2.30M","-1.46%"
"06/14/2019","29,041","29,269","29,269","28,976","1.94M","-0.34%"
"06/13/2019","29,139","29,595","29,595","29,073","2.29M","-1.43%"
"06/12/2019","29,562","29,334","29,660","29,171","2.85M","1.23%"
"06/11/2019","29,204","29,008","29,497","28,976","3.15M","1.13%"
"06/10/2019","28,878","28,813","29,171","28,780","2.18M","0.34%"
"06/07/2019","28,780","28,259","28,780","28,259","1.97M","2.08%"
"06/06/2019","28,193","28,356","28,356","28,030","1.15M","-0.12%"
"06/05/2019","28,226","28,226","28,454","28,193","872.07K","0.70%"
"06/04/2019","28,030","27,835","28,030","27,574","672.24K","1.18%"
"06/03/2019","27,704","28,030","28,030","27,411","1.65M","-1.28%"
"05/31/2019","28,063","28,552","28,584","28,030","1.88M","-1.71%"
"05/30/2019","28,552","28,519","28,682","28,389","1.18M","0.12%"
"05/29/2019","28,519","28,747","28,845","28,487","2.73M","-0.79%"
"05/28/2019","28,747","28,519","28,813","28,519","1.54M","0.57%"
"05/27/2019","28,584","28,845","28,943","28,454","1.62M","-1.13%"
"05/24/2019","28,910","28,421","29,106","28,324","3.52M","1.25%"
"05/23/2019","28,552","28,682","28,682","28,356","1.73M","0.69%"
"05/22/2019","28,356","28,356","28,677","28,260","2.02M","0.34%"
"05/21/2019","28,260","28,324","28,549","28,164","2.83M","-0.11%"
"05/20/2019","28,292","27,780","28,388","27,780","2.70M","2.08%"
"05/17/2019","27,715","27,555","27,876","27,555","895.59K","0.58%"
"05/16/2019","27,555","27,876","28,004","27,555","1.02M","-1.15%"
"05/15/2019","27,876","27,523","27,972","27,491","2.32M","1.76%"
"05/14/2019","27,395","27,235","27,459","27,107","1.53M","0.35%"
"05/13/2019","27,299","27,203","27,363","26,914","798.42K","0.23%"
"05/10/2019","27,235","26,946","27,267","26,914","1.03M","1.07%"
"05/09/2019","26,946","26,722","27,075","26,690","1.14M","0.72%"
"05/08/2019","26,754","26,594","26,882","26,434","1.02M","-0.48%"
"05/07/2019","26,882","26,946","27,075","26,754","877.53K","0.12%"
"05/06/2019","26,850","27,235","27,235","26,754","1.22M","-2.45%"
"05/03/2019","27,523","27,555","27,555","27,267","1.15M","-0.12%"
"05/02/2019","27,555","27,331","27,683","27,331","1.67M","1.29%"
"04/26/2019","27,203","26,754","27,235","26,690","2.19M","1.68%"
"04/25/2019","26,754","26,690","26,914","26,594","819.03K","0.60%"
"04/24/2019","26,594","26,530","26,722","26,498","955.08K","0.24%"
"04/23/2019","26,530","26,594","26,658","26,402","615.90K","-0.24%"
"04/22/2019","26,594","26,466","26,722","26,434","1.08M","0.97%"
"04/19/2019","26,338","26,113","26,370","26,081","728.25K","0.99%"
"04/18/2019","26,081","26,210","26,274","25,825","1.14M","-0.49%"
"04/17/2019","26,210","26,177","26,306","26,081","1.03M","0.13%"
"04/16/2019","26,177","26,210","26,338","26,081","1.36M","-0.97%"
"04/12/2019","26,434","26,434","26,530","26,242","1.05M","0.00%"
"04/11/2019","26,434","26,434","26,626","26,338","667.74K","-0.36%"
"04/10/2019","26,530","26,722","26,786","26,338","1.21M","-1.07%"
"04/09/2019","26,818","26,914","26,946","26,658","827.91K","-0.36%"
"04/08/2019","26,914","27,075","27,075","26,754","559.74K","-0.12%"
"04/05/2019","26,946","26,466","27,011","26,466","1.06M","0.72%"
"04/04/2019","26,754","26,850","27,011","26,722","952.50K","-0.36%"
"04/03/2019","26,850","27,075","27,075","26,818","706.62K","-0.36%"
"04/02/2019","26,946","27,203","27,267","26,946","862.98K","0.00%"
"04/01/2019","26,946","27,171","27,267","26,914","1.45M","-0.83%"
"03/29/2019","27,171","27,107","27,299","27,075","856.65K","0.47%"
"03/28/2019","27,043","27,075","27,139","26,946","1.06M","0.00%"
"03/27/2019","27,043","27,075","27,203","27,043","623.43K","0.36%"
"03/26/2019","26,946","27,235","27,299","26,882","1.77M","0.36%"
"03/25/2019","26,850","27,715","27,715","26,850","3.49M","-3.90%"
"03/22/2019","27,940","28,164","28,228","27,876","2.02M","-0.80%"
"03/21/2019","28,164","28,356","28,549","28,164","2.12M","-0.68%"
"03/20/2019","28,356","28,356","28,613","28,196","1.29M","-0.68%"
"03/19/2019","28,549","28,613","29,157","28,484","3.48M","-0.11%"
"03/18/2019","28,581","28,388","28,613","28,356","2.17M","0.68%"
"03/15/2019","28,388","28,516","28,613","28,292","1.37M","-0.45%"
"03/14/2019","28,516","28,677","28,677","28,356","1.59M","-0.45%"
"03/13/2019","28,645","28,356","28,837","28,356","3.24M","1.02%"
